adb devices|Lists connecte devices
adb shell|Lanuch an adb shell instance
adb shell dumpsys|Prints a full diagnostic system dump
adb shell logcat -d|Prints a full system log dump to local window
adb reboot recovery|Reboots the phone to the recovery environment
adb shell mount -o rw,remount /system|remounts the system partition in rw mode
adb shell mount -o ro,remount /system|remounts the system partition in ro mode
adb reboot -p|Shutdown your phone
adb shell echo 'mtp,adb' > /data/property/persist.sys.usb.config|Enable adb android until jellybean
adb shell echo "persist.service.adb.enable=1" >> default.prop |enable adb persistent 1
adb shell echo "persist.service.debuggable=1" >> default.prop|enable adb persistent 2
adb shell echo "persist.sys.usb.config=mtp,adb" >> default.prop|enable adb persistent 3
adb shell echo "persist.service.adb.enable=1" >> /system/build.prop|enable adb persistent 4
adb shell echo "persist.service.debuggable=1" >> /system/build.prop|enable adb persistent 5
adb shell echo "persist.sys.usb.config=mtp,adb" >> /system/build.prop|enable adb persistent 6
adb tcpip 5555|sets the adb server listening on the 5555 port
adb connect 192.168.0.34|connenct your device over IP (in this case 192.168.0.34) you can change it before to shoot the script 
adb logcat -d -v thread *:E|Show error log filtered logcat
adb shell dumpsys battery|Show battery info
adb shell getprop|Show some phone properties
adb install .\yourapp.apk|installs yourapp.apk onyour phone (change the app path and name)
adb wait-for-device|waits for a deivce connection (launch invisible window)
adb reboot bootloader|reboots the phone in fastboot mode
fastboot flash recovery recovery.img|flashes a recovery image called recovery.img
fastboot flash boot boot.img|flashes a boot image called boot.img
fastboot flash cache cache.img|flashes a cache image called cache.img
fastboot flash userdata userdata.img|flashes an userdata image called userata.img
fastboot flash system system.img|flashes a system image called system.img
fastboot reboot|exits fasboot and reboot the phone
fastboot oem unlock|unlocks the bootloader
adb shell df|get some info about device space and apps
adb pull /data/app/ .\apps|save to a local folder all the content of your apps folder
adb pull /system/vendor/app/ .\apps\VendorApps|save to a local folder all the content of your Vendor apps folder
adb remount|remount local filesystems as rw
adb backup -apk -shared -all -f .\ScriptGunBackup.ab|launch a full backup of your phone
adb shell pm list packages -f|lists installed packages -detailed
adb shell pm list packages|lists installed packages
adb shell "pm list packages | cut -f 2 -d ":""
adb shell input keyevent 26|toggle power button
adb shell input keyevent 82|unlocks  the screen
adb shell setprop persist.service.adb.enable 1|enable usb debug
adb shell cat /proc/mounts|Info about the partitions
adb pull /data/data/com.android.providers.settings|Pulls the folder with the android system settings DB (edit with an sqlite DBeditor)
adb shell "cat /proc/mounts  grep /dev/block"|deep info about partitions
adb shell "getprop ro.product.model"|dumps the product model name
